Nom_du_POI,Categories_de_POI,Latitude,Longitude,Adresse_postale,Code_postal_et_commune,Covid19_mesures_specifiques,Covid19_est_en_activite,Covid19_periodes_d_ouvertures_confirmees,Createur_de_la_donnee,SIT_diffuseur,Date_de_mise_a_jour,Contacts_du_POI,Classements_du_POI,Description,URI_ID_du_POI
Domaine du Vert Moulin,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Product|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Rental|https://www.datatourisme.gouv.fr/ontology/core#NonHousingRealEstateRental|http://schema.org/Product,43.669824,5.446773,1685 Chemin Du Moulin,13610#Le Puy-Sainte-Réparade,,True,True,Provence Tourisme (ADT13),Provence Tourisme (ADT13),2021-07-21,#+33 4 42 61 86 89<>+33 6 10 10 03 54#contact@vertmoulin.com#http://vertmoulin.com/,,Domaine privatisable au Puy Sainte Réparade,https://data.datatourisme.gouv.fr/58/80e17e2b-21c2-3bb7-8f73-164a42f4f78a
Maison de la musique,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Product|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Rental|https://www.datatourisme.gouv.fr/ontology/core#NonHousingRealEstateRental|http://schema.org/Product,43.880491,4.85281,Rue du Moulin Parking du Moulin,13160#Châteaurenard,,True,True,Office de Tourisme Intercommunal de Terre de Provence,Provence Tourisme / Office de Tourisme Intercommunal de Terre de Provence,2021-07-15,#+33 6 81 49 96 93#contact@amt-chato.fr#,,Maison de la musique de Châteaurenard.,https://data.datatourisme.gouv.fr/58/9030d3ee-19b4-3b79-a6b8-7f6ebfe8e0cd
Mas de Jonquerolle,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Product|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Rental|https://www.datatourisme.gouv.fr/ontology/core#NonHousingRealEstateRental|http://schema.org/Product,43.797387,4.820241,35 Chemin De Chalamon,13210#Saint-Rémy-de-Provence,,True,True,Office de Tourisme Alpilles en Provence,Provence Tourisme / Office de Tourisme Alpilles en Provence,2021-02-09,#+33 6 20 87 36 34#jean-luc.chaneac@orange.fr#http://www.masdejonquerolles.com/,,"Situé à proximité du centre-ville de Saint-Rémy-de-Provence, le Mas de Jonquerolles vous propose la location de ses deux salles de réception entièrement équipées pour organiser et accueillir tous vos événements...",https://data.datatourisme.gouv.fr/58/d2544d92-050c-3cc2-921b-4f33fb097e8f
"Marseille trendy, le Vieux-Port du Roi Soleil",https://www.datatourisme.gouv.fr/ontology/core#EntertainmentAndEvent|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Product|https://www.datatourisme.gouv.fr/ontology/core#Visit|http://schema.org/Event|http://schema.org/Product,43.293983000000004,5.373986,Le lieu de rendez-vous sera précisé à la réservation.,13055#Marseille,,True,True,Office Métropolitain de tourisme et des congrès de Marseille,Provence Tourisme / Office Métropolitain de tourisme et des congrès de Marseille,2021-03-25,#+33 826 50 05 00##https://www.marseille-tourisme.com/experience/tous-les-produits/,,"Découverte de la partie Sud du Vieux Port : boutiques et créateurs de la rue de la mode, restaurants du cours E. d'Orves...",https://data.datatourisme.gouv.fr/58/14d2e28d-abfd-33cf-be74-36f77c6059b7
"Full Blue Sky - Parapente et paramoteur. Vols tandem, baptêmes",https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Practice|https://www.datatourisme.gouv.fr/ontology/core#Product|http://schema.org/Product,44.306365,5.835303,74 avenue de Provence,05300#Laragne-Montéglin,,True,True,Office de Tourisme Sisteron Buëch,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-02-11,#+33 6 08 93 20 07#fbs.fullbluesky@gmail.com#https://fullbluesky.fr/fr,,"Entre rêve et réalité, dans le silence des airs, profitez d'un panorama inoubliable au départ de sites mondialement réputés pour la pratique du vol libre. Baptêmes biplace possibles pour les personnes en situation de handicap.",https://data.datatourisme.gouv.fr/13/68d35797-58ae-35fc-a9be-9dddc68a143c
Puzzles urbains : une randonnée urbaine de Marseille,https://www.datatourisme.gouv.fr/ontology/core#EntertainmentAndEvent|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Product|https://www.datatourisme.gouv.fr/ontology/core#Visit|http://schema.org/Event|http://schema.org/Product,43.298344,5.383221,Place Castellane,13055#Marseille,,True,True,Office Métropolitain de tourisme et des congrès de Marseille,Provence Tourisme / Office Métropolitain de tourisme et des congrès de Marseille,2021-08-02,###https://urbanhike.fr/marseille/puzzles-urbains,,"Marche facile de 11,5 km en 3h30, avec Urban Hike. Réservation en téléphonant au 07 62 53 15 46 ou en ligne.",https://data.datatourisme.gouv.fr/58/10907d11-d029-3c71-a63d-973dad149306
Journées du patrimoine,https://www.datatourisme.gouv.fr/ontology/core#EntertainmentAndEvent|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Product|https://www.datatourisme.gouv.fr/ontology/core#Visit|http://schema.org/Event|http://schema.org/Product,43.538256,5.294279,Rue du puits de la muse Salle Jean Bourde,13122#Ventabren,,True,True,Provence Tourisme (ADT13),Provence Tourisme (ADT13),2021-09-03,#+33 4 42 28 76 47##https://www.ventabren.fr/agenda/journee-du-patrimoine-2/,,Journée du patrimoine à Ventabren sur le thème de l'artisanat,https://data.datatourisme.gouv.fr/58/f1653ad0-f5be-3c8c-90b0-feca1590bd91
Château Pesquié,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Product|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#BusinessPlace|https://www.datatourisme.gouv.fr/ontology/core#Rental|https://www.datatourisme.gouv.fr/ontology/core#ConventionCentre|https://www.datatourisme.gouv.fr/ontology/core#NonHousingRealEstateRental|http://schema.org/Product,44.075368,5.187163,1365B Route de Flassan,84570#Mormoiron,,True,True,Office de Tourisme Intercommunal Ventoux Sud,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-02-02,#+33 4 90 61 94 08#reception@chateaupesquie.com#http://www.chateaupesquie.com/,,"Salle de séminaire de 100m2, entièrement modulable, disponible pour votre journée ou 1/2 journée d'étude. 
Activités autour du vin et incentives également disponibles.",https://data.datatourisme.gouv.fr/13/c95d1bd9-4aac-387d-bb3b-aacd1d429c32
Location Canoë Kayak - RCKN,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Product|https://www.datatourisme.gouv.fr/ontology/core#EquipmentRentalShop|https://www.datatourisme.gouv.fr/ontology/core#Rental|https://www.datatourisme.gouv.fr/ontology/core#ServiceProvider|https://www.datatourisme.gouv.fr/ontology/core#Store|https://www.datatourisme.gouv.fr/ontology/core#EquipmentRental|http://schema.org/LocalBusiness|http://schema.org/Product,44.339604,5.914212,RN 1085 Cité EDF du Beynon Valenty,05300#Ventavon,,True,True,Office de Tourisme Sisteron Buëch,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-05-04,#+33 6 16 78 18 37#rckn@sfr.fr#http://www.rckn.fr/,,"Vous découvrirez la Moyenne Durance, une rivière sauvage aux senteurs de Provence, accessible à toute personne ayant 7 ans et sachant nager, en famille ou entre amis.",https://data.datatourisme.gouv.fr/13/cac17684-d86f-3e1d-bde5-4f6342d3109a
Jet Family's,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Product|https://www.datatourisme.gouv.fr/ontology/core#EquipmentRentalShop|https://www.datatourisme.gouv.fr/ontology/core#Rental|https://www.datatourisme.gouv.fr/ontology/core#ServiceProvider|https://www.datatourisme.gouv.fr/ontology/core#Store|https://www.datatourisme.gouv.fr/ontology/core#EquipmentRental|http://schema.org/LocalBusiness|http://schema.org/Product,43.281738,6.588519,2396 Route du Littoral Quartier St-Pons-les-Mûres,83310#Grimaud,,True,True,Office de tourisme de Grimaud,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-07-07,#+33 6 99 42 21 18#jetfamilys@gmail.com#http://www.jet-familys.fr/,,Base de loisirs nautiques,https://data.datatourisme.gouv.fr/13/db0377e1-9d85-3cdb-be65-69b362535c06
Sunset apéro by Rand'Eau Aventure,https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Practice|https://www.datatourisme.gouv.fr/ontology/core#Product|http://schema.org/Product,43.414545000000004,6.848445,Le Dramont Port du Poussai,83700#Saint-Raphaël,,True,True,Office de tourisme de Saint-Raphaël,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-07-20,#+33 6 08 01 66 38#randeau83@yahoo.com#https://www.randeau83.com/,,"Un apéritif provençal insolite, sur une île avec coucher de soleil… 
Découvrez notre sunset apéro unique en France.",https://data.datatourisme.gouv.fr/13/bb8b75cc-0b46-308f-9727-118f560d9e7c
WaterFun by Rand'Eau Aventure,https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Practice|https://www.datatourisme.gouv.fr/ontology/core#Product|http://schema.org/Product,43.414327,6.847866000000001,Le Dramont Port du Poussai,83700#Saint-Raphaël,,True,True,Office de tourisme de Saint-Raphaël,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-05-19,#+33 6 08 01 66 38#randeau83@yahoo.com#https://www.randeau83.com/,,Water Fun est un véritable parc aquatique naturel au coeur des calanques du Dramont. Une activité familiale dès l’âge de 6 ans (savoir nager).,https://data.datatourisme.gouv.fr/13/e6ff94a4-744c-3d52-923c-028f8880444f
Raid Holiday by Rand'eau Aventure,https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Practice|https://www.datatourisme.gouv.fr/ontology/core#Product|http://schema.org/Product,43.414327,6.847866000000001,Le Dramont Port du Poussai,83700#Saint-Raphaël,,True,True,Office de tourisme de Saint-Raphaël,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-05-10,#+33 6 08 01 66 38#randeau83@yahoo.com#https://www.randeau83.com/,,"Vous souhaitez vivre une expérience unique, alliant plaisir, découvertes et émotions ? 
Evadez-vous le temps d'une matinée en combinant 3 activités et partagez un moment unique entre amis ou en famille.",https://data.datatourisme.gouv.fr/13/69fce597-4f6a-3f67-b422-5214a815b19a
Excursion “Calanques & baignade” by Rand'eau Aventure,https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Practice|https://www.datatourisme.gouv.fr/ontology/core#Product|http://schema.org/Product,43.414327,6.847866000000001,Le Dramont Port du Poussai,83700#Saint-Raphaël,,True,True,Office de tourisme de Saint-Raphaël,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-06-08,#+33 6 08 01 66 38#randeau83@yahoo.com#https://www.randeau83.com/,,"Partez à la découverte des calanques du Dramont sur nos paddles géants. Découverte, baignade, piscine naturelle, grotte, crique secrète et dégustation de jus de fruits dans un lagon bleu turquoise... voilà ce qui vous attend lors de cette visite insolite.",https://data.datatourisme.gouv.fr/13/a7f03bd0-61ec-32e4-90c1-03aeb399cf7a
Atelier Apprenti-Parfumeur - Parfumerie Fragonard,https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Practice|https://www.datatourisme.gouv.fr/ontology/core#Product|http://schema.org/Product,43.657299,6.9222339999999996,"20, bd Fragonard",06130#Grasse,,True,True,Tourisme Pays de Grasse,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-05-18,#+33 4 93 36 44 65#tourisme@fragonard.com#http://www.fragonard.com/<>https://booking.amadeus-sherpa.com/activity/provider/BIqoG0APH1846pFYcaFN/Fragonard%20Parfumeur,,"Devenez apprenti parfumeur en personnalisant votre propre eau de Cologne. Une expérience sensorielle inoubliable, ludique et captivante centrée sur la création d’une senteur autour de notes aromatiques, d’agrumes et de fleur d’oranger.",https://data.datatourisme.gouv.fr/13/dd7f7640-b4cc-3cb3-9a9c-6655875c9851
Saint Pierre ou le Père-Lachaise aixois,https://www.datatourisme.gouv.fr/ontology/core#EntertainmentAndEvent|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Product|https://www.datatourisme.gouv.fr/ontology/core#Visit|http://schema.org/Event|http://schema.org/Product,43.525828999999995,5.44439,Entrée du cimetière Avenue des déportés de la résistance aixoise (en face de la piscine Yves Blanc),13090#Aix-en-Provence,,True,True,Office de Tourisme d'Aix en Provence,Provence Tourisme / Office de Tourisme d'Aix en Provence,2021-07-16,###https://reservation.aixenprovencetourism.com/,,"Venez (re)découvrir le cimetière Saint Pierre, véritable Père-Lachaise aixois, en compagnie de votre guide qui ressuscitera le passé fastueux de ses illustres âmes",https://data.datatourisme.gouv.fr/58/b026f1e1-0f75-378d-b6e7-4d0fef5ac359
"Nomadia, tiers-lieu et espace de coworking",https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Product|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Rental|https://www.datatourisme.gouv.fr/ontology/core#NonHousingRealEstateRental|http://schema.org/Product,43.622904,6.692464,159 rue Comtesse de Villeneuve Relais Services Publics,83440#Fayence,,True,True,Office de Tourisme Intercommunal Pays de Fayence,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-08-04,#+33 4 94 39 09 10##,,"Situé  entre  mer  et montage, Nom@dia est un Tiers-lieu et un espace de co-working qui accueille une communauté d’utilisateurs réguliers ou de passage dans la région.",https://data.datatourisme.gouv.fr/13/5c956d0e-cbc4-3c5a-9c92-6d1b59819e72
Les Chemins de la Vigne,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Product|https://www.datatourisme.gouv.fr/ontology/core#EquipmentRentalShop|https://www.datatourisme.gouv.fr/ontology/core#Rental|https://www.datatourisme.gouv.fr/ontology/core#ServiceProvider|https://www.datatourisme.gouv.fr/ontology/core#Store|https://www.datatourisme.gouv.fr/ontology/core#EquipmentRental|http://schema.org/LocalBusiness|http://schema.org/Product,43.158061,6.222975,Le Pas des Chèvres 1730 route de Collobrières,83250#La Londe-les-Maures,,True,True,"Office de tourisme intercommunal de Collobrières, Cuers, La Londe les Maures, Pierrefeu","Office de tourisme intercommunal de Collobrières, Cuers, La Londe les Maures, Pierrefeu - source : Apidae Tourisme",2020-05-22,#+33 6 58 62 54 66#tricolore.event@gmail.com#http://www.les-chemins-de-la-vigne.fr/,,"Location de VTT à assistance électrique équipés de GPS avec circuits à thème, sur réservation. Circuits enrichis d'informations touristiques.",https://data.datatourisme.gouv.fr/13/83db9573-50be-3e31-bf7f-398379d36097
Domaine Méjan,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Product|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#BusinessPlace|https://www.datatourisme.gouv.fr/ontology/core#Rental|https://www.datatourisme.gouv.fr/ontology/core#ConventionCentre|https://www.datatourisme.gouv.fr/ontology/core#NonHousingRealEstateRental|http://schema.org/Product,43.725269,4.793332,Chemin De Bourgeac,13520#Paradou,,True,True,Office de Tourisme Alpilles en Provence,Provence Tourisme / Office de Tourisme Alpilles en Provence,2020-12-16,#+33 6 09 83 51 02#virginie@domaine-mejan.com#http://www.domaine-mejan.com/,,"Le domaine Méjan est le lieu idéal pour organiser vos évènements professionnels et convier vos équipes pour des rencontres professionnelles, dans un cadre d'exception au cœur du parc régional des Alpilles.",https://data.datatourisme.gouv.fr/58/08d3a94c-c6cb-30e9-b189-5c8c387d0ca2
Domaine de Méjan,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Product|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Rental|https://www.datatourisme.gouv.fr/ontology/core#NonHousingRealEstateRental|http://schema.org/Product,43.725465,4.793314,Chemin De Bourgeac,13520#Paradou,,True,True,Régie Tourisme de la CC Vallée Des Baux-Alpilles,Provence Tourisme / Régie Tourisme de la CC Vallée Des Baux-Alpilles,2020-11-27,#+33 6 09 83 51 02#virginie@domaine-mejan.com#http://www.domaine-mejan.com/,,,https://data.datatourisme.gouv.fr/58/f8e8185f-6044-3044-96a5-53213cfc8e31
Bédoin : Balade accompagnée à vélo,https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Practice|https://www.datatourisme.gouv.fr/ontology/core#Product|http://schema.org/Product,44.094578000000006,5.033851,1 Route de Malaucène,84410#Bédoin,,True,True,Office de tourisme  Ventoux Provence Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-09-15,#+33 4 90 63 00 78<>+33 6 03 92 40 77#velovauclusedecouverte@gmail.com#http://www.ventouxprovence.fr/<>https://www.velo-vaucluse-decouverte.com/,,Participez à un moment d'évasion à vélo avec Régis depuis le village de Bédoin situé au pied du mythique Mont Ventoux. Avec de magnifiques paysages la balade vous permettra de découvrir les curiosités incontournables des contreforts du géant de Provence.,https://data.datatourisme.gouv.fr/13/448a35a4-cf5a-385c-bce2-f08626cc19eb
Visite guidée et commentée de la Fondation Carzou,https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Practice|https://www.datatourisme.gouv.fr/ontology/core#Product|http://schema.org/Product,43.831405,5.782681,7-9 Boulevard Elémir Bourges Fondation Carzou,04100#Manosque,,True,True,Office de Tourisme Communautaire Durance Luberon Verdon Agglomération,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-03-26,#+33 4 92 87 40 49#communication@fondationcarzou.com#http://www.fondationcarzou.fr/,,La Fondation Carzou est composée d’une superbe chapelle de style néoclassique entièrement décorée par le peintre Jean Carzou (1907-2000) et de salles d’exposition. Elle pour objectif d’être un haut lieu de réflexion et d’animation culturelle.,https://data.datatourisme.gouv.fr/13/82e4db8b-95b2-35c2-8803-7af384cf97d3
Visite libre du Jardin Méditerranéen de L'Occitane en Provence,https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Practice|https://www.datatourisme.gouv.fr/ontology/core#Product|http://schema.org/Product,43.800721,5.815285,Chemin Saint-Maurice M&L Distribution France Zone industrielle Saint-Maurice,04100#Manosque,,True,True,Office de Tourisme Communautaire Durance Luberon Verdon Agglomération,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-05-22,#+33 4 92 70 32 08#reservations.visites@loccitane.com#http://fr.loccitane.com/<>https://visiteloccitane.com/,,"Visite libre du jardin méditerranéen
Venez vous évader le temps d’une balade dans notre Jardin Méditerranéen.",https://data.datatourisme.gouv.fr/13/8a5c3f38-b5a3-30dd-9195-6551ce08e9b9
Tous les jardins du monde - Balade nature,https://www.datatourisme.gouv.fr/ontology/core#EntertainmentAndEvent|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Product|https://www.datatourisme.gouv.fr/ontology/core#Visit|http://schema.org/Event|http://schema.org/Product,43.121164,6.125335,Centre-ville 89 Allée Castel Sainte-Claire Jardin Castel Sainte-Claire,83400#Hyères,,True,True,Office de Tourisme Provence Méditerranée,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-03-29,#+33 4 94 01 84 50#reservation@hyeres-tourisme.com#https://www.hyeres-tourisme.com/tous-les-jardins-du-monde/,,"Véritable tour du monde botanique, cette balade avec votre guide naturaliste Vincent Blondel, vous invite à la découverte des plus beaux jardins de la ville : Saint Bernard et Sainte Claire, classés jardins remarquables.",https://data.datatourisme.gouv.fr/13/f98af6f9-be0f-369e-8f5b-a00a7c06fb70
Pêche à la mouche en no-kill,https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Practice|https://www.datatourisme.gouv.fr/ontology/core#Product|http://schema.org/Product,44.406989,5.725683,La Germanette La Maison de la Pêche,05700#Serres,,True,True,Office de Tourisme Sisteron Buëch,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-02-17,#+33 4 92 58 61 09<>+33 6 77 85 83 67#truite.buech@cegetel.net#http://truite.buech.free.fr/,,"Cette pratique développée par les pêcheurs sportifs américains au cours du XXe siècle consiste à relâcher volontairement et systématiquement les poissons pêchés à la mouche avec des hameçons sans ardillon, par respect du poisson et du milieu aquatique.",https://data.datatourisme.gouv.fr/13/8c70bb0d-8c75-3718-87fa-7511ca540f6c
Pique-nique vigneron du Château Pesquié,https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Practice|https://www.datatourisme.gouv.fr/ontology/core#Product|http://schema.org/Product,44.071595,5.187879,1365B route de Flassan Château Pesquié,84570#Mormoiron,,True,True,Office de Tourisme Intercommunal Ventoux Sud,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-06-18,#+33 4 90 63 00 78<>+33 4 90 61 94 08#reception@chateaupesquie.com#http://www.ventouxprovence.fr/<>http://www.chateaupesquie.com/,,Découvrez les spécialités locales à l'ombre des platanes tricentenaires. Nous vous confectionnerons un panier gourmand pour votre déjeuner champêtre accompagné de vins du Château Pesquié.,https://data.datatourisme.gouv.fr/13/9a8f9999-8fdc-3d5f-a518-878be6a1c549
"Visite de la distillerie traditionnelle du ""Vallon des lavandes""",https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Practice|https://www.datatourisme.gouv.fr/ontology/core#Product|http://schema.org/Product,44.108242,5.411614,"965 Route du Vallon (Ancienne route d'Aurel), Le Vallon",84390#Sault,,True,True,Office de Tourisme Intercommunal Ventoux Sud,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-08-23,#+33 4 90 64 14 83#vallon-des-lavandes@wanadoo.fr#,,"Découvrez les secrets de la distillation, de la fleur de lavande à l'huile essentielle…Sylvie et Thierry vous accueillent sur leur exploitation agricole et vous font visiter la distillerie construite en 1947 par le ""grand-père Felix"". Durée : 45 minutes.",https://data.datatourisme.gouv.fr/13/9c1cca99-ac7b-3c81-b051-f7d751b6de8c
Conservatoire à rayonnement régional de Nice Pierre Cochereau,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Product|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Rental|https://www.datatourisme.gouv.fr/ontology/core#NonHousingRealEstateRental|http://schema.org/Product,43.724701,7.272939999999999,127 av de Brancolar,06000#Nice,,True,True,Office de Tourisme Métropolitain Nice Côte d'Azur,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-07-19,#+33 4 97 13 50 02#info@conservatoire-nice.org#http://www.conservatoire-nice.org/,,"Vaisseau amiral de la musique et de son enseignement, auditorium 730 places (le plus grand de France), théâtre de plein air de 300 places, de nombreux virtuoses de la scène internationale ont fait école ici.",https://data.datatourisme.gouv.fr/13/d900230e-e91d-3b77-aa9f-96f8336cd2d6
Cité Saint-François - Centre de conférences,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Product|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Rental|https://www.datatourisme.gouv.fr/ontology/core#NonHousingRealEstateRental|http://schema.org/Product,43.7225,7.280639999999999,10 bd Pasteur / 65 av de la Voie Romaine,06000#Nice,,True,True,Office de Tourisme Métropolitain Nice Côte d'Azur,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-06-28,#+33 4 93 13 68 34#vlammens@st-francois.fr#http://cite-saint-francois.fr/,,Au coeur du quartier collinaire de la santé de Pasteur se dresse la Cité Saint François.,https://data.datatourisme.gouv.fr/13/eee1fac6-7fbd-3f2b-9d0a-b40743a3e90f
Visite guidée du Riviera Palace,https://www.datatourisme.gouv.fr/ontology/core#EntertainmentAndEvent|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Product|https://www.datatourisme.gouv.fr/ontology/core#Visit|http://schema.org/Event|http://schema.org/Product,43.744537,7.423316000000001,27 Boulevard de La Turbie Riviera Palace,06240#Beausoleil,,False,True,"Office de Tourisme Menton, Riviera & Merveilles",Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-07-17,#+33 4 83 93 70 20<>+33 4 83 93 95 35##,,"Visite guidée jusqu'au Riviera Palace en passant par les différents quartiers historiques de Beausoleil, comme le fameux quartier du Carnier, dit ""Le Tonkin"".
Découverte du jardin d'hiver et de sa verrière exceptionnelle. Architecture ""Belle Epoque"".",https://data.datatourisme.gouv.fr/13/8e078548-10f6-3773-a93c-ff02ea686a9e
Lelabocoworking,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Product|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Rental|https://www.datatourisme.gouv.fr/ontology/core#NonHousingRealEstateRental|http://schema.org/Product,43.695801,7.26347,6 rue du Congrès,06000#Nice,,True,True,Office de Tourisme Métropolitain Nice Côte d'Azur,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-04-02,#+33 6 16 81 05 55#contact@lelabocoworking.com#http://lelabocoworking.com/,,"Espace de coworking, salle de réunion et privatisation pour vos événements privés et professionnels en plein coeur de Nice.",https://data.datatourisme.gouv.fr/13/11b5333c-2a80-3abd-93cc-7fd623fced11
