Nom_du_POI,Categories_de_POI,Latitude,Longitude,Adresse_postale,Code_postal_et_commune,Covid19_mesures_specifiques,Covid19_est_en_activite,Covid19_periodes_d_ouvertures_confirmees,Createur_de_la_donnee,SIT_diffuseur,Date_de_mise_a_jour,Contacts_du_POI,Classements_du_POI,Description,URI_ID_du_POI
AURIOL - Le bois de la Lare,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.35062,5.660267,8 cours Barthélemy,13390#Auriol,,True,True,Parc Naturel Régional de la Sainte-Baume,Provence Tourisme / Parc Naturel Régional de la Sainte-Baume,2021-03-01,#+33 4 42 03 49 98#accueil@tourisme-paysdaubagne.fr#https://www.tourisme-paysdaubagne.fr/,,"Randonnée dans le bois de la Lare au départ du site des Encanaux, avec sa glacière, la fraîcheur de sa rivière et la Sainte Baume en toile de fond",https://data.datatourisme.gouv.fr/58/931deb75-b7e4-393f-b366-9e39555800e4
AURIOL - Le bois de la Lare,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.35062,5.660267,8 cours Barthélemy,13390#Auriol,,True,True,Parc Naturel Régional de la Sainte-Baume,Provence Tourisme / Parc Naturel Régional de la Sainte-Baume,2021-04-19,#+33 4 42 03 49 98#accueil@tourisme-paysdaubagne.fr#https://www.tourisme-paysdaubagne.fr/,,"Randonnée dans le bois de la Lare au départ du site des Encanaux, avec sa glacière, la fraîcheur de sa rivière et la Sainte Baume en toile de fond",https://data.datatourisme.gouv.fr/58/4ad43bdb-5c30-3a55-bb28-64d07d5c1cc3
AURIOL - Le bois de la Lare,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.35062,5.660267,8 cours Barthélemy,13390#Auriol,,True,True,Parc Naturel Régional de la Sainte-Baume,Provence Tourisme / Parc Naturel Régional de la Sainte-Baume,2021-09-20,#+33 4 42 03 49 98#accueil@tourisme-paysdaubagne.fr#https://www.tourisme-paysdaubagne.fr/,,"Randonnée dans le bois de la Lare au départ du site des Encanaux, avec sa glacière, la fraîcheur de sa rivière et la Sainte Baume en toile de fond",https://data.datatourisme.gouv.fr/58/0f218abb-e5aa-3f07-807e-d9ec0d63371b
AURIOL - Le bois de la Lare,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.35062,5.660267,8 cours Barthélemy,13390#Auriol,,True,True,Parc Naturel Régional de la Sainte-Baume,Provence Tourisme / Parc Naturel Régional de la Sainte-Baume,2021-05-04,#+33 4 42 03 49 98#accueil@tourisme-paysdaubagne.fr#https://www.tourisme-paysdaubagne.fr/,,"Randonnée dans le bois de la Lare au départ du site des Encanaux, avec sa glacière, la fraîcheur de sa rivière et la Sainte Baume en toile de fond",https://data.datatourisme.gouv.fr/58/25a0716e-0727-33b0-afb6-faf0d1f0f956
Circuit pédestre Sainte-Christine,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.236173,6.0702050000000005,place patillon,83390#Cuers,,True,True,"Office de tourisme intercommunal de Collobrières, Cuers, La Londe les Maures, Pierrefeu","Office de tourisme intercommunal de Collobrières, Cuers, La Londe les Maures, Pierrefeu - source : Apidae Tourisme",2021-03-31,#+33 4 94 48 56 27#cuers@mpmtourisme.com#https://www.mpmtourisme.com/,,Un magnifique balade d'une chapelle à une autre pour admirer les panoramas.,https://data.datatourisme.gouv.fr/13/14ae5f81-1faf-310d-ba77-c59ef09c8909
Parcours éducatifs nature au Château Pas du Cerf,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.192949,6.208158,RD 88 5920 route de Collobrières,83250#La Londe-les-Maures,,True,True,"Office de tourisme intercommunal de Collobrières, Cuers, La Londe les Maures, Pierrefeu","Office de tourisme intercommunal de Collobrières, Cuers, La Londe les Maures, Pierrefeu - source : Apidae Tourisme",2021-07-22,#+33 4 94 00 81 05#evenement@pasducerf.com#https://www.pasducerf.com/,,"A La Londe les Maures.  
3 parcours éducatifs nature à découvrir en famille au Château Pas du Cerf - Sur présentation en boutique.",https://data.datatourisme.gouv.fr/13/1e9952bd-56b5-35a3-a167-c76f4e29be51
Sentier d'interprétation de Peau de Meau,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#RoadTour|http://purl.org/ontology/olo/core#OrderedList,43.637038000000004,4.80551,2 Place Léon Michaud,13310#Saint-Martin-de-Crau,,True,True,Communauté d'agglomération Arles Crau Camargue Montagnette (ACCM),Provence Tourisme / Communauté d'agglomération Arles Crau Camargue Montagnette (ACCM),2021-04-29,#+33 4 90 47 02 01#ecomusee.crau@cen-paca.org<>audrey.hoppenot@cen-paca.org#,,Sentier d'interprétation de Peau de Meau,https://data.datatourisme.gouv.fr/58/63df1acb-313a-33da-adca-e55f8e9fc41e
Sentier d'interprétation de Peau de Meau,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#RoadTour|http://purl.org/ontology/olo/core#OrderedList,43.637038000000004,4.80551,2 Place Léon Michaud,13310#Saint-Martin-de-Crau,,True,True,Communauté d'agglomération Arles Crau Camargue Montagnette (ACCM),Apidae Tourisme Scic SA - source : Apidae Tourisme,2020-11-06,,,,https://data.datatourisme.gouv.fr/13/63df1acb-313a-33da-adca-e55f8e9fc41e
Le sentier des lézards à Carry-le-Rouet,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|https://www.datatourisme.gouv.fr/ontology/core#EducationalTrail|http://purl.org/ontology/olo/core#OrderedList,43.328664,5.1511309999999995,Port de Carry-le-rouet,13620#Carry-le-Rouet,,True,False,Agence régionale pour la biodiversité et l'environnement Provence-Alpes-Côte d'Azur (ARBE),Provence Tourisme / Agence régionale pour la biodiversité et l'environnement Provence-Alpes-Côte d'Azur (ARBE),2017-06-20,###http://www.baladeenprovence.com/balade.php?reference=Carry-Lezard<>http://www.otcarrylerouet.fr/fr/decouvertes-et-art-de-vivre/collines-et-balades/166-lieux,,Venez découvrir la faune et la flore méditerranéenne sur une partie du littoral de la Côte Bleue !,https://data.datatourisme.gouv.fr/58/72b0ab71-744b-3199-a563-d55d9deade3b
AUREILLE - Un festival d'oiseaux méditerranéens,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.70598,4.950972,Place Jean Jaurès,13930#Eyguières,,True,True,Parc Naturel Régional des Alpilles,Provence Tourisme / Parc Naturel Régional des Alpilles,2021-02-05,#+33 4 90 92 05 22<>+33 4 90 90 44 00#contact@parc-alpilles.fr<>saintremy@alpillesenprovence.com#http://www.alpillesenprovence.com/<>http://www.parc-alpilles.fr/,,Un parcours facile à pied autour des Opies durant lequel vous observerez aisément toutes les espèces rares ou typiques des Alpilles.,https://data.datatourisme.gouv.fr/58/785b3785-48d4-34d5-b41d-2feeb610fc25
AUREILLE - Un festival d'oiseaux méditerranéens,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.70598,4.950972,Place Jean Jaurès,13930#Eyguières,,True,True,Parc Naturel Régional des Alpilles,Provence Tourisme / Parc Naturel Régional des Alpilles,2021-05-04,#+33 4 90 92 05 22<>+33 4 90 90 44 00#contact@parc-alpilles.fr<>saintremy@alpillesenprovence.com#http://www.alpillesenprovence.com/<>http://www.parc-alpilles.fr/,,Un parcours facile à pied autour des Opies durant lequel vous observerez aisément toutes les espèces rares ou typiques des Alpilles.,https://data.datatourisme.gouv.fr/58/6e509f00-a826-3613-8ddd-9340098e8aad
FONTVIEILLE - Alpilles - Crau - Camargue à Vélo,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#CyclingTour|https://www.datatourisme.gouv.fr/ontology/core#Tour|http://purl.org/ontology/olo/core#OrderedList,43.724933,4.709141000000001,Place Jean Jaurès,13990#Arles,,True,True,Parc Naturel Régional des Alpilles,Provence Tourisme / Parc Naturel Régional des Alpilles,2021-09-20,#+33 4 90 18 41 20<>+33 4 90 92 05 22<>+33 4 90 90 44 00<>+33 4 90 97 10 40#ot-arles@arlestourisme.com<>info@parc-camargue.fr<>contact@parc-alpilles.fr<>saintremy@alpillesenprovence.com#http://www.parc-camargue.fr/<>http://www.alpillesenprovence.com/<>http://www.arlestourisme.com/fr/<>http://www.parc-alpilles.fr/,,Cette balade vous emmène au coeur du triangle d'or de la biodiversité à la découverte des paysages de Provence et du delta du Rhône.,https://data.datatourisme.gouv.fr/58/6a1ebca3-e0bd-3b66-bf7d-188d47e9af17
TARASCON - La campagne provençale à vélo,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#CyclingTour|https://www.datatourisme.gouv.fr/ontology/core#Tour|http://purl.org/ontology/olo/core#OrderedList,43.805591,4.65493,62 rue des Halles,13150#Mas-Blanc-des-Alpilles,,True,True,Parc Naturel Régional des Alpilles,Provence Tourisme / Parc Naturel Régional des Alpilles,2021-09-20,#+33 4 90 91 03 52<>+33 4 90 90 44 00#contact@parc-alpilles.fr<>m.faubet@tarascon.org#http://www.tarascon.fr/<>http://www.parc-alpilles.fr/,,Une boucle qui vous fera voyager à travers champs et croiser de nombreux canaux !,https://data.datatourisme.gouv.fr/58/91e7c3ed-c1f9-3c8b-a235-f685893bee3e
SAINT-REMY-DE-PROVENCE - Pèr draio e pèr camin à VTT,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#CyclingTour|https://www.datatourisme.gouv.fr/ontology/core#Tour|http://purl.org/ontology/olo/core#OrderedList,43.798095,4.844887,Place Jean Jaurès,13210#Noves,,True,True,Parc Naturel Régional des Alpilles,Provence Tourisme / Parc Naturel Régional des Alpilles,2021-09-20,#+33 4 90 92 05 22<>+33 4 90 90 44 00#contact@parc-alpilles.fr<>saintremy@alpillesenprovence.com#http://www.alpillesenprovence.com/<>http://www.parc-alpilles.fr/,,"Par drailles et par chemins, suivez les traces de la transhumance des bergers des Alpilles et de leurs troupeaux !",https://data.datatourisme.gouv.fr/58/d036eb53-8bc2-37e2-a71f-95ecb6d4f9c6
Sur les pas de Marie-Madeleine - De Martigues à Carry-le-Rouet,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.399525,5.056357,Avenue Jean-Moulin,13500#Martigues,,True,True,Office de Tourisme de Martigues,Provence Tourisme / Office de Tourisme de Martigues,2021-06-21,#+33 4 42 42 31 10#info@martigues-tourisme.com#,,"Il s'agit de l'étape 04 de l'itinéraire ""Sur les pas de Marie-Madeleine"" dédié à Sainte-Marie-Madeleine. Le circuit vous fera voyager à la découverte du patrimoine religieux de Martigues et notamment de la Côte Bleue en direction de Carry-le-Rouet.",https://data.datatourisme.gouv.fr/58/e7313797-69cc-3ef2-9775-45fb37de4c4b
La Cabre et la Pécoule,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.723019,5.102672,Sénas,13560#Sénas,,True,False,Parc Naturel Régional des Alpilles,Provence Tourisme / Parc Naturel Régional des Alpilles,2017-08-04,###http://www.cheminsdesparcs.fr/pedestre/la-cabre-et-la-pecoule/,,Facile,https://data.datatourisme.gouv.fr/58/d40131a4-9d4f-3934-a274-ceba7b42e6e0
Perrier Redon à vélo,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#CyclingTour|https://www.datatourisme.gouv.fr/ontology/core#Tour|http://purl.org/ontology/olo/core#OrderedList,43.744101,5.077462000000001,Sénas,13560#Sénas,,True,False,Parc Naturel Régional des Alpilles,Provence Tourisme / Parc Naturel Régional des Alpilles,2017-08-11,###http://www.cheminsdesparcs.fr/velo/perrier-redon-a-velo/,,Très facile,https://data.datatourisme.gouv.fr/58/474074d7-7f4a-3e01-a56a-6d7d12f8f5ae
Sentier Botanique de Noves,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.878492,4.9024980000000005,La Tuilerie,13550#Noves,,True,True,Office de Tourisme Intercommunal de Terre de Provence,Provence Tourisme / Office de Tourisme Intercommunal de Terre de Provence,2021-01-22,#+33 4 90 92 90 43#tourisme.noves@wanadoo.fr#http://www.noves.fr/<>http://www.noves.com/,,"Long de près de 2 km, à travers la colline du Rougadou, le sentier botanique permet de découvrir la flore si particulière de la Provence.",https://data.datatourisme.gouv.fr/58/dc2b97b5-0f83-3ccf-bc8f-4a8caced1ec8
"Bouches-du-Rhône en Paysages - La Roque-d'Anthéron, évocations vaudoises",https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.716899,5.309393,13 Cours Foch,13640#La Roque-d'Anthéron,,True,True,Provence Tourisme (ADT13),Provence Tourisme (ADT13),2021-04-12,#+33 4 42 50 70 74#tourisme@ville-laroquedantheron.fr#http://www.laroquedantheron-tourisme.fr/,,Balade en famille de 45 minutes pour découvrir le patrimoine et les paysages de la capitale provençale du piano : La Roque d'Anthéron.,https://data.datatourisme.gouv.fr/58/e160ab96-88dc-3b9a-8869-c75841db3345
"Circuit ""Astouin"" à vélo",https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#CyclingTour|https://www.datatourisme.gouv.fr/ontology/core#Tour|http://purl.org/ontology/olo/core#OrderedList,43.450264000000004,4.428452,Les Saintes-Maries-de-la-Mer,13460#Saintes-Maries-de-la-Mer,,True,False,Parc Naturel Régional de Camargue,Provence Tourisme / Parc Naturel Régional de Camargue,2017-08-31,###http://www.cheminsdesparcs.fr/velo/circuit-astouin-a-velo/,,Facile,https://data.datatourisme.gouv.fr/58/e92c3f19-039f-3557-a098-d30275b66bbe
Du bac du Sauvage à Cacharel à vélo,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#CyclingTour|https://www.datatourisme.gouv.fr/ontology/core#Tour|http://purl.org/ontology/olo/core#OrderedList,43.450247999999995,4.428918,Les Saintes-Maries-de-la-Mer,13460#Saintes-Maries-de-la-Mer,,True,False,Parc Naturel Régional de Camargue,Provence Tourisme / Parc Naturel Régional de Camargue,2017-08-31,###http://www.cheminsdesparcs.fr/velo/du-bac-du-sauvage-a-cacharel-a-velo/,,Facile,https://data.datatourisme.gouv.fr/58/f8e0d60b-a341-36df-8ad1-982d127fccc3
Circuit autour des Saintes-Maries-de-la-Mer à vélo,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#CyclingTour|https://www.datatourisme.gouv.fr/ontology/core#Tour|http://purl.org/ontology/olo/core#OrderedList,43.450126000000004,4.428516,Les Saintes-Maries-de-la-Mer,13460#Saintes-Maries-de-la-Mer,,True,False,Parc Naturel Régional de Camargue,Provence Tourisme / Parc Naturel Régional de Camargue,2017-08-31,###http://www.cheminsdesparcs.fr/velo/circuit-autour-des-saintes-maries-de-la-mer-a-velo/,,Facile,https://data.datatourisme.gouv.fr/58/1b867620-e506-3399-83d2-bf18d6091b75
La Digue à la Mer,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.450176,4.428391,Les Saintes-Maries-de-la-Mer,13460#Saintes-Maries-de-la-Mer,,True,False,Parc Naturel Régional de Camargue,Provence Tourisme / Parc Naturel Régional de Camargue,2017-08-31,###http://www.cheminsdesparcs.fr/pedestre/la-digue-a-la-mer/,,Facile,https://data.datatourisme.gouv.fr/58/8bb8f8d0-34ad-36ae-935d-20e95d8a8873
"A vélo, le tour de Vaccarès en 2 jours",https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#CyclingTour|https://www.datatourisme.gouv.fr/ontology/core#Tour|http://purl.org/ontology/olo/core#OrderedList,43.450247999999995,4.428918,Les Saintes-Maries-de-la-Mer,13460#Saintes-Maries-de-la-Mer,,True,False,Parc Naturel Régional de Camargue,Provence Tourisme / Parc Naturel Régional de Camargue,2017-07-04,###http://www.cheminsdesparcs.fr/velo/a-velo-le-tour-de-vaccares-en-2-jours/,,Facile,https://data.datatourisme.gouv.fr/58/e1dc51cf-8f12-3e9f-854e-6edcb71f8460
"Circuit ""Dromar"" à vélo",https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#CyclingTour|https://www.datatourisme.gouv.fr/ontology/core#Tour|http://purl.org/ontology/olo/core#OrderedList,43.450281,4.428473,Les Saintes-Maries-de-la-Mer,13460#Saintes-Maries-de-la-Mer,,True,False,Parc Naturel Régional de Camargue,Provence Tourisme / Parc Naturel Régional de Camargue,2017-08-31,###http://www.cheminsdesparcs.fr/velo/circuit-dromar-a-velo/,,Facile,https://data.datatourisme.gouv.fr/58/24689abe-4707-304a-892d-50ec88d93d2c
"Bouches-du-Rhône en Paysages - Maussane, au fil de l'eau",https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.722528000000004,4.8036389999999995,Place Henri Giraud,13520#Maussane-les-Alpilles,,True,True,Provence Tourisme (ADT13),Provence Tourisme (ADT13),2021-04-12,#+33 4 90 54 23 13#tourisme@maussanelesalpilles.fr#http://www.maussanelesalpilles.fr/,,"L'itinéraire "" Maussane-les-Alpilles secrète entre gaudre, fontaines et ruisseaux "" vous propose une balade insolite au coeur du patrimoine architectural au grès des ruisseaux, du gaudre et des fontaines qui composent son paysage.",https://data.datatourisme.gouv.fr/58/ed08948f-488f-3dd4-90ff-166add34c3ea
Sentier des rainettes à la Capelière,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|https://www.datatourisme.gouv.fr/ontology/core#EducationalTrail|http://purl.org/ontology/olo/core#OrderedList,43.535271,4.644309,C134 route de Fiélouse Mas de la Capelière,13200#Arles,,True,False,Agence régionale pour la biodiversité et l'environnement Provence-Alpes-Côte d'Azur (ARBE),Provence Tourisme / Agence régionale pour la biodiversité et l'environnement Provence-Alpes-Côte d'Azur (ARBE),2020-03-16,#+33 4 90 97 00 97#reservedecamargue@espaces-naturels.fr#http://www.snpn.com/reservedecamargue/,,"Un sentier idéal pour faire une découverte à pied d'un site alliant à la fois milieux d'eau douce et milieux salés, entre marais à roselière, ripisylve, pelouses et sansouïre.",https://data.datatourisme.gouv.fr/58/f0ea8fa0-c181-3d93-8e37-c4a17a079ebc
Towards Les-Baux-de-Provence,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.721396999999996,4.809566,Avenue des Alpilles,13520#Paradou,,True,True,Parc Naturel Régional des Alpilles,Provence Tourisme / Parc Naturel Régional des Alpilles,2021-01-27,#+33 4 90 54 33 60<>+33 4 90 90 44 00#tourisme@maussane.com<>contact@parc-alpilles.fr#http://www.maussane.com/<>http://www.parc-alpilles.fr/,,"Entre oliviers et garrigue, une boucle aux paysages exceptionnels, au détour d'un patrimoine bâti riche et étonnant !",https://data.datatourisme.gouv.fr/58/f26e7d0c-de85-3b9f-8293-63579148a9e5
MAUSSANE-LES-ALPILLES - Vers les Baux-de-Provence,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.721396999999996,4.809566,Avenue des Alpilles,13520#Paradou,,True,True,Parc Naturel Régional des Alpilles,Provence Tourisme / Parc Naturel Régional des Alpilles,2021-04-19,#+33 4 90 54 33 60<>+33 4 90 90 44 00#tourisme@maussane.com<>contact@parc-alpilles.fr#http://www.maussane.com/<>http://www.parc-alpilles.fr/,,"Entre oliviers et garrigue, une boucle aux paysages exceptionnels, au détour d'un patrimoine bâti riche et étonnant !",https://data.datatourisme.gouv.fr/58/5097c053-78b8-3181-bed3-993b5cf21440
MAUSSANE-LES-ALPILLES - Vers les Baux-de-Provence,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.721396999999996,4.809566,Avenue des Alpilles,13520#Paradou,,True,True,Parc Naturel Régional des Alpilles,Provence Tourisme / Parc Naturel Régional des Alpilles,2021-05-04,#+33 4 90 54 33 60<>+33 4 90 90 44 00#tourisme@maussane.com<>contact@parc-alpilles.fr#http://www.maussane.com/<>http://www.parc-alpilles.fr/,,"Entre oliviers et garrigue, une boucle aux paysages exceptionnels, au détour d'un patrimoine bâti riche et étonnant !",https://data.datatourisme.gouv.fr/58/f0b7e509-eb8c-3ed2-a250-fdcedfdaf8e6
